sp;burrow;surface
Austruca_annulipes;1;0
Tubuca_arcuata;0;1
Leptuca_beebei;1;0
Tubuca_bellator;0;1
Austruca_bengali;0.5;0.5
Tubuca_capricornis;0;1
Paraleptuca_chlorophthalmus;0;1
Tubuca_coarctata;0;1
Paraleptuca_crassipes;0;1
Leptuca_crenulata;1;0
Leptuca_cumulanta;1;0
Leptuca_deichmanni;1;0
Tubuca_elegans;1;0
Tubuca_flammula;0;1
Xeruca_formosensis;1;0
Gelasimus_hesperiae;0;1
Austruca_lactea;0;1
Leptuca_latimanus;1;0
Leptuca_leptodactyla;1;0
Tubuca_longidigitum;0;1
Uca_maracoani;1;0
Minuca_minax;1;0
Uca_ornata;1;0
Austruca_mjoebergi;0.5;0.5
Leptuca_panacea;1;0
Petruca_panamensis;0;1
Tubuca_paradussumieri;1;0
Austruca_perplexa;0.5;0.5
Tubuca_polita;0;1
Uca_princeps;0;1
Leptuca_pugilator;1;0
Minuca_pugnax;1;0
Minuca_rapax;1;0
Tubuca_rhizophorae;0;1
Tubuca_rosea;0;1
Leptuca_saltitanta;1;0
Tubuca_signata;0;1
Austruca_sindensis;1;0
Leptuca_speciosa;1;0
Leptuca_stenodactylus;1;0
Uca_stylifera;0.5;0.5
Afruca_tangeri;0.5;0.5
Leptuca_terpsichores;1;0
Gelasimus_tetragonon;0;1
Leptuca_thayeri;0.5;0.5
Leptuca_uruguayensis;0.5;0.5
Gelasimus_vocans;0;1
Minuca_vocator;0;1
Gelasimus_vomeris;0;1
